startupId,startupName,dippNumber,dippRecognitionStatus,cin,stage,city,state,industry,sectors,website,email,phone,linkedInUrl,profileStatus
63a1fdcfe4b0fcfedea40c1c,Xpand Life Private Limited,DIPP123100,RECOGNISED,U15205MH2022PTC395259,Validation,Nagpur,Maharashtra,Food & Beverages,Food Processing,www.licksters.com,,,,OK
63a015f2e4b0e7b413b0f416,Tnv Cargo Management Services Private Limited,DIPP119056,RECOGNISED,U60221MH2022PTC384757,Prototype,Nagpur,Maharashtra,Transportation & Storage,Freight & Logistics Services,,,,,OK
639da815e4b0e7b413b05ae9,BS 2 SOLUTIONS PRIVATE LIMITED,DIPP136351,RECOGNISED,U74999MH2021PTC353462,Prototype,Nagpur,Maharashtra,Advertising,AdTech,,,,,OK
639c4aa9e4b0e7b413afe4ed,Vikramaaditya Vc Private Limited,DIPP118419,RECOGNISED,U85300MH2022PTC391655,Prototype,Nagpur,Maharashtra,Healthcare & Lifesciences,Healthcare Services,Vikramaaditya.com,,,,OK
639b0d02e4b018c322adcb29,Aicd Infra Decor Llp,DIPP117657,RECOGNISED,AAR-0750,Prototype,Nagpur,Maharashtra,Construction,Others,https://buildanyhomes.com/,,,,OK
639b0967e4b018c322adc93e,Wena Bio Science Private Limited,DIPP117205,RECOGNISED,U01100MH2021PTC366944,Validation,Nagpur,Maharashtra,Agriculture,Others,,,,,OK
6398c444e4b018c322ad19dc,VIRK SURLAKH VENTURES LLP,DIPP119732,RECOGNISED,ABZ-6293,Prototype,Nagpur,Maharashtra,Others,Others,,,,,OK
63971368e4b018c322acb82d,FINDINGPI PRIVATE LIMITED,DIPP117047,RECOGNISED,U72900MH2022PTC374580,Prototype,Nagpur,Maharashtra,IT Services,IT Consulting,https://www.findingpi.com/,,,,OK
6396d1bee4b018c322ac98ec,Accurate Mega Structures Private Limited,DIPP116967,RECOGNISED,U74999MH2022PTC379917,Prototype,Nagpur,Maharashtra,Construction,New-age Construction Technologies,,,,,OK
63945cd9e4b018c322abde27,Vyuh Associates Private Limited,DIPP117355,RECOGNISED,U74999MH2022PTC376876,Prototype,Nagpur,Maharashtra,Human Resources,Others,https://www.vyuhjobs.com/,,,,OK
639426dbe4b018c322abc57f,Optimum Multiservices Private Limited,DIPP116813,RECOGNISED,U74999MH2021PTC367491,Validation,Nagpur,Maharashtra,Human Resources,Others,,,,,OK
638ae559e4b0823353406c50,Winvestors Consultants Private Limited,DIPP116503,RECOGNISED,U74999MH2021PTC367938,Validation,Nagpur,Maharashtra,Finance Technology,Advisory,,,,,OK
6388c4f7e4b0ef90a8911a6c,Aicd Infraventure Private Limited,DIPP116860,RECOGNISED,U45201MH2018PTC317665,Validation,Nagpur,Maharashtra,Real Estate,Others,,,,,OK
6388a8e7e4b0ef90a8910af1,PERRIDOTTVENTURES PRIVATE LIMITED,DIPP149871,RECOGNISED,U20299MH2022PTC394378,Prototype,Nagpur,Maharashtra,Green Technology,Waste Management,,,,,OK
6388255fe4b0ef90a890a834,Zing Softwares Private Limited,DIPP115922,RECOGNISED,U72900MH2021PTC361721,Validation,Nagpur,Maharashtra,IT Services,Product Development,,,,,OK
63875eace4b0e15bb42395f1,SIMPLYDESI VENTURES PRIVATE LIMITED,DIPP115779,RECOGNISED,U74999MH2019PTC328297,Validation,Nagpur,Maharashtra,Social Network,Others,https://simplydesi.in/,,,,OK
63872acee4b0beee02504bf2,Kraya Concepts Private Limited,DIPP116182,RECOGNISED,U72900MH2022PTC392229,Validation,Nagpur,Maharashtra,Enterprise Software,Cloud,www.kraya.co,,,,OK
63863a25e4b0f9d1767d01d4,Matchedmee Enterprises Private Limited,DIPP122048,RECOGNISED,U18101MH2023PTC396877,Prototype,Nagpur,Maharashtra,Fashion,Apparel, http://www.matchedmee.com,,,,OK
