startupId,startupName,dippNumber,dippRecognitionStatus,cin,stage,city,state,industry,sectors,website,email,phone,linkedInUrl,profileStatus,scrapedEmail,scrapedPhone,scrapedLinkedIn,pagesChecked,scrapeStatus,scrapeError,cleanedEmail,cleanedPhone,cleanedLinkedIn,errorType
63863a25e4b0f9d1767d01d4,Matchedmee Enterprises Private Limited,DIPP122048,RECOGNISED,U18101MH2023PTC396877,Prototype,Nagpur,Maharashtra,Fashion,Apparel,http://www.matchedmee.com,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at http://www.matchedmee.com/
Call log:
  - navigating to ""http://www.matchedmee.com/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
6379eb67e4b027ddb8e63424,Ingenuitive Private Limited,DIPP122306,RECOGNISED,U31904MH2022PTC395721,Validation,Nagpur,Maharashtra,Technology Hardware,Electronics,https://aac.ingenuitive.cc,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://aac.ingenuitive.cc/
Call log:
  - navigating to ""https://aac.ingenuitive.cc/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
6378a4cfe4b027ddb8e5a742,Founders Innovation Private Limited,DIPP119858,RECOGNISED,U74110MH2021PTC369730,EarlyTraction,Nagpur,Maharashtra,IT Services,Web Development,https://iwearwhoopee.com/,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://iwearwhoopee.com/
Call log:
  - navigating to ""https://iwearwhoopee.com/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
637892a1e4b027ddb8e59816,Mandarin Semiconductors Private Limited,DIPP115461,RECOGNISED,U32109MH2022PTC383145,Validation,Nagpur,Maharashtra,Technology Hardware,Semiconductor,https://www.mandarinsemiconductors.com,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.mandarinsemiconductors.com/
Call log:
  - navigating to ""https://www.mandarinsemiconductors.com/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
6374df23e4b07b9d66d9cecf,Pertinent Healthcare Business Solutions Private Limited,DIPP114834,RECOGNISED,U74999MH2020PTC344991,Validation,Nagpur,Maharashtra,IT Services,BPO,http://www.pertinenthbs.com/,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at http://www.pertinenthbs.com/
Call log:
  - navigating to ""http://www.pertinenthbs.com/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
636bcd03e4b0561227f0cd63,Medyard Trexim Private Limited,DIPP114256,RECOGNISED,U51909MH2022PTC390389,Prototype,Nagpur,Maharashtra,Marketing,Sales,https://www.medyardtrexim.com,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.medyardtrexim.com/
Call log:
  - navigating to ""https://www.medyardtrexim.com/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
633c3712e4b0feee6e0b8768,MES-ONS INDIA PRIVATE LIMITED,DIPP144693,RECOGNISED,U28999MH2022PTC385018,Scaling,Nagpur,Maharashtra,Renewable Energy,Manufacture of Electrical Equipment,https://www.mesonswires.com,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.mesonswires.com/
Call log:
  - navigating to ""https://www.mesonswires.com/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
62ff0f6ce4b0da9c23ed4f87,Sts360 Support Private Limited,DIPP108628,RECOGNISED,U72900MH2022PTC387852,Scaling,Nagpur,Maharashtra,IT Services,BPO,https://www.STS360 support.in,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.STS360 support.in
Call log:
  - navigating to ""https://www.STS360 support.in"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
62f0ec05e4b02524d81a6f2b,Amplecare Remedies Private Limited,DIPP116025,RECOGNISED,U51909PN2021PTC203182,EarlyTraction,Nagpur,Maharashtra,Healthcare & Lifesciences,Pharmaceutical,https://www.amplecareremedies.com,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.amplecareremedies.com/
Call log:
  - navigating to ""https://www.amplecareremedies.com/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
62ecd177e4b02524d81921c0,Happico Foods Private Limited,DIPP110085,RECOGNISED,U15400MH2022PTC386840,EarlyTraction,Nagpur,Maharashtra,Food & Beverages,Food Processing,https://www.myhappico.com,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.myhappico.com/
Call log:
  - navigating to ""https://www.myhappico.com/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
