startupId,startupName,originalWebsite,methodUsed,verifiedWebsite,emails,phones,linkedin,status,errorType,httpStatus,finalURL,attempts,notes
673b3beae4b061047b5e4c97,WISE-BESARV EV PRIVATE LIMITED,https://www.wisebesarvev.com,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
673882dae4b061047b5dcff5,SHARIDHS TECH SOLUTIONS,https://bighelpr.com,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
673873ace4b061047b5dcb3a,WIT WEB INTEGRATED TECHNOLOGY PRIVATE LIMITED,https://www.webintegratedtech.com/,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
6733028fe4b017491c4e9ddc,CLEOO COSMETICS PRIVATE LIMITED,https://Home-Cleoo Cosmetic,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
67319ae2e4b017491c4e47c8,PINAKRAJ CLASSICS PRIVATE LIMITED,https://NA,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
6729e353e4b0a3f67b48e879,RVT PHARMA ENTERPRISES PRIVATE LIMITED,https://NA,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
6721fa52e4b01514dfdbfc5c,A K SANTRA ASSOCIATE AND CONSULTANT PRIVATE LIMITED,https://Not Applicable,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
671f179de4b0bbf338c3b531,SUSTAINSH BIOSOLUTIONS LLP,https://NA,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
67128f6ee4b00e6292704aef,SPECTRUM INVENTIVE DESIGNS PRIVATE LIMITED,https://SPECTRUM INVENTIVE DESIGNS PRIVATE LIMITED,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
67128f65e4b00e6292704ad7,ASHISH GREEN ENERGY PRIVATE LIMITED,https://ASHISH GREEN ENERGY PRIVATE LIMITED,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
67128f4be4b00e6292704aa6,ANAN VIRIYATECH PRIVATE LIMITED,https://ANAN VIRIYATECH PRIVATE LIMITED,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
670cf67be4b0b193604ee6f8,TECHDYNAMICS INNOVATIONS PRIVATE LIMITED,https://NA,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
6708bf3ee4b0913403d3e5b5,SANVIVIJAY MICROSERVICES ASSOCIATION,https://www.sanvivijay.com,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66fe812de4b0f06e1bb18ba3,DRRV ADVANCED HEALTH PRIVATE LIMITED,https://DRRV ADVANCED HEALTH PRIVATE LIMITED,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66fa79b6e4b0f06e1bb05f10,ELITA VENTURES PRIVATE LIMITED,https://NA,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66f7d9fee4b0e7dee436ac68,ARMISTICE DESTINATIONS PRIVATE LIMITED,https://ARMISTICE DESTINATIONS PRIVATE LIMITED,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66f692e7e4b09affe3108a07,ALTERWORKS BIOLABS LLP,https://null,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66e7d889e4b0862aa0d08d31,AARVK INNOVATIVE &amp; TEXTILE INDUSTRIES PRIVATE LIMITED,https://AARVK INNOVATIVE &amp; TEXTILE INDUSTRIES PRIVATE LIMITED,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66e5b919e4b0aee6d0f10c39,GAGANTEJ AGRO &amp; ENERGY PRIVATE LIMITED,https://GAGANTEJ AGRO &amp; ENERGY PRIVATE LIMITED,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66e42d0ce4b0aee6d0f0b6d3,WAGH DEFENCE PRIVATE LIMITED,https://waghdefence.com/,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66e00d84e4b0554f91179e37,MRO ENGINEERING AND SUPPLIES PRIVATE LIMITED,https://industrialmro.com,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66d84082e4b0da161d5aae6d,QUINTESSENTIAL INFORMATICS SYSTEMS PRIVATE LIMITED,https://QUINTESSENTIAL INFORMATICS SYSTEMS PRIVATE LIMITED,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66d2bffce4b0da161d592904,A.G.UPASE CIVIL CONSTRUCTION PRIVATE LIMITED,https://nill,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66d1c5dbe4b0da161d58ee32,SRIKALAHASTI FOOD PRODUCTS (OPC) PRIVATE LIMITED,https://srikalahastifoodproducts.com,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66c9ae6fe4b0da161d570cbe,EIROBAA ELECTRIC VEHICLES PRIVATE LIMITED,https://eirobaa.com/,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66bc4baae4b0e0a79682ddf1,ALLIOSTAAR TECHUB LLP,https://ALLIOSTAAR TECHUB LLP,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66bb52e7e4b0e0a79682bd06,SHLOK REFVAN SERVICES PRIVATE LIMITED,https://SHLOK REFVAN SERVICES PRIVATE LIMITED,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
