startupId,startupName,originalWebsite,errorType,searchStatus,queriesAttempted,queriesWithResults,candidate1Title,candidate1URL,candidate1Domain,candidate1Query,candidate2Title,candidate2URL,candidate2Domain,candidate2Query,candidate3Title,candidate3URL,candidate3Domain,candidate3Query,candidate4Title,candidate4URL,candidate4Domain,candidate4Query,candidate5Title,candidate5URL,candidate5Domain,candidate5Query
6a47ae7ee4b0359e44e31356,SOMYA INTEGRATED SAFETY SECURITY SERVICES LLP,https://www.sismultipurposeservices.com,DNS_ERROR,NO_CANDIDATES,6,0,,,,,,,,,,,,,,,,,,,,
6a43c29fe4b0359e44e1d2d8,VRAJA CREATION LLP,https://NIL,DNS_ERROR,NO_CANDIDATES,6,0,,,,,,,,,,,,,,,,,,,,
6a435996e4b0359e44e19037,SMKJ BEVERAGES LLP,https://NA,DNS_ERROR,CANDIDATES_FOUND,6,6,Smkj beverages llp company has vacancy of Fmcg Sales Executive in ...,https://www.workindia.in/jobs/fmcg_sales_executive-panvel-mumbai-10239496/,workindia.in,"""SMKJ BEVERAGES LLP"" Nagpur","Field Sales Executive Job in Smkj Beverages Llp in Panvel, Mumbai - 2 ...",https://www.jobhai.com/field-sales-field-sales-executive-job-in-smkj-beverages-llp-panvel-navi-mumbai-2-to-5-years-1781257470-7802510-jid,jobhai.com,"""SMKJ BEVERAGES LLP"" Nagpur",,,,,,,,,,,,
6a425805e4b0359e44e14a4d,SWAZTHI ENTERPRISES LLP,https://NA,DNS_ERROR,NO_CANDIDATES,6,0,,,,,,,,,,,,,,,,,,,,
6a3b86f9e4b0359e44df2d4e,RAAFIANA GLOBAL LLP,https://NA,DNS_ERROR,NO_CANDIDATES,6,0,,,,,,,,,,,,,,,,,,,,
6a393ed7e4b0359e44de827f,ELEVEN RUDRAKSHAK REAL ESTATE PRIVATE LIMITED,https://NIL,DNS_ERROR,NO_CANDIDATES,6,0,,,,,,,,,,,,,,,,,,,,
6a38f51ee4b06921f1d7ad87,SDM ROBOTICS & DRONE TRAINING ACADEMY PRIVATE LIMITED,https://www.sdmrobotics.com,DNS_ERROR,CANDIDATES_FOUND,6,6,Sdm Robotics & Drone Training Academy Private Limited,https://companies.dubleu.co/company/sdm-robotics-drone-training-academy-private-limited-U85306MH2026PTC466967,companies.dubleu.co,"""SDM ROBOTICS & DRONE TRAINING ACADEMY PRIVATE LIMITED"" Nagpur",Sdm Robotics & Drone Training Academy Private Limited,https://www.filesure.in/company/sdm-robotics-and-drone-training-academy-private-limited/U85306MH2026PTC466967?tab=about,filesure.in,"""SDM ROBOTICS & DRONE TRAINING ACADEMY PRIVATE LIMITED"" Nagpur",Sdm Robotics & Drone Training Academy Private Limited,https://compfilings.com/company/SDM-ROBOTICS-and-DRONE-TRAINING-ACADEMY-PRIVATE-LIMITED-U85306MH2026PTC466967,compfilings.com,"""SDM ROBOTICS & DRONE TRAINING ACADEMY PRIVATE LIMITED"" Nagpur",,,,,,,,
6a36470ae4b06921f1d7110d,SVSTAR EDUCATION PRIVATE LIMITED,https://NA,DNS_ERROR,NO_CANDIDATES,6,0,,,,,,,,,,,,,,,,,,,,
6a294d66e4b06921f1d2c8f1,SAERA HEALTHCARE LLP,https://NA,DNS_ERROR,CANDIDATES_FOUND,6,6,"Skin Therapist in Saera Healthcare LLP, Dharampeth, Nagpur | apna.co",https://apna.co/job/nagpur/skin-therapist-332979336,apna.co,"""SAERA HEALTHCARE LLP"" Nagpur",,,,,,,,,,,,,,,,
6a1ffd23e4b075ab1c5a93b9,ORVYN STUDIO PRIVATE LIMITED,https://NIL,DNS_ERROR,CANDIDATES_FOUND,6,6,"ORVYN STUDIO PRIVATE LIMITED, CIN, address, business and website",https://companies.dubleu.co/company/orvyn-studio-private-limited-U47711ME2026PTC474805,companies.dubleu.co,"""ORVYN STUDIO PRIVATE LIMITED"" Nagpur",,,,,,,,,,,,,,,,
6a0ff675e4b061f008c7cae4,MORNINGMIND TECHNOLAB PRIVATE LIMITED,https://NA,DNS_ERROR,CANDIDATES_FOUND,6,6,MORNINGMIND TECHNOLAB PRIVATE LIMITED - Crunchbase,https://www.crunchbase.com/organization/morningmind-technolab-private-limited,crunchbase.com,"""MORNINGMIND TECHNOLAB PRIVATE LIMITED"" Nagpur",MORNINGMIND TECHNOLAB PRIVATE LIMITED | CompFilings,https://compfilings.com/company/MORNINGMIND-TECHNOLAB-PRIVATE-LIMITED-U62099ME2026PTC474528,compfilings.com,"""MORNINGMIND TECHNOLAB PRIVATE LIMITED"" Nagpur","MORNINGMIND TECHNOLAB PRIVATE LIMITED - Drug pipelines, Patents ...",https://synapse.patsnap.com/organization/213a7ec6136869bb99923eb836a16478,synapse.patsnap.com,"""MORNINGMIND TECHNOLAB PRIVATE LIMITED"" Nagpur",,,,,,,,
6a05acbde4b07cca57a0cdbc,SHRIJI DESIGN GLOBAL PRIVATE LIMITED,https://NOT AVAILABLE,DNS_ERROR,CANDIDATES_FOUND,6,6,"SHRIJI DESIGN GLOBAL PRIVATE LIMITED, CIN, address, business and ...",https://companies.dubleu.co/company/shriji-design-global-private-limited-U42102MH2026PTC467415,companies.dubleu.co,"""SHRIJI DESIGN GLOBAL PRIVATE LIMITED"" Nagpur",Shriji Design Global Private Limited - U42102mh2026ptc467415,https://www.instafinancials.com/company/shriji-design-global-private-limited-U42102MH2026PTC467415,instafinancials.com,"""SHRIJI DESIGN GLOBAL PRIVATE LIMITED"" Nagpur",Shriji Design Global Private Limited (U42102mh2026ptc467415…,https://www.inspex.in/company/SHRIJI-DESIGN-GLOBAL-PRIVATE-LIMITED-U42102MH2026PTC467415,inspex.in,"""SHRIJI DESIGN GLOBAL PRIVATE LIMITED"" Nagpur",,,,,,,,
6a05a3f4e4b07cca57a0bf7a,SRIORA PRIVATE LIMITED,https://NA,DNS_ERROR,NO_CANDIDATES,6,0,,,,,,,,,,,,,,,,,,,,
6a0487e4e4b07cca579edc21,LOTUS INTERIOR DESIGN STUDIO PRIVATE LIMITED,https://NA,DNS_ERROR,CANDIDATES_FOUND,6,6,Lotus Interior Design Studio Private Limited,https://buysellprivatelimited.com/company/lotus-interior-design-studio-private-limited/U74102ME2026PTC474642,buysellprivatelimited.com,"""LOTUS INTERIOR DESIGN STUDIO PRIVATE LIMITED"" Nagpur",Lotus Interior Design Studio Private Limited,https://www.filesure.in/company/lotus-interior-design-studio-private-limited/U74102ME2026PTC474642?tab=about,filesure.in,"""LOTUS INTERIOR DESIGN STUDIO PRIVATE LIMITED"" Nagpur",LOTUS INTERIOR DESIGN STUDIO PRIVATE LIMITED - CompFilings,https://compfilings.com/company/LOTUS-INTERIOR-DESIGN-STUDIO-PRIVATE-LIMITED-U74102ME2026PTC474642,compfilings.com,"""LOTUS INTERIOR DESIGN STUDIO PRIVATE LIMITED"" Nagpur",,,,,,,,
6a045e88e4b07cca579ec046,ASH GLOBAL TECHNOLOGY LLP,https://NA,DNS_ERROR,NO_CANDIDATES,6,0,,,,,,,,,,,,,,,,,,,,
